year,biomass (mt)
1951,14.9
1952,10.7
1953,13.7
1954,93.8
1955,85
1956,32.8
1957,936
1958,422
1959,519.4
1960,491
1961,243.8
1962,650
1963,1102.7
1964,1993.7
1965,1902.6
1966,2015.5
1967,
1968,447.8
1969,1130.1
1970,
1971,
1972,384.3
1973,
1974,
1975,1822.1
1976,
1977,
1978,477
1979,436.2
1980,
1981,610.9
1982,318.2
1983,
1984,400
1985,
1986,2028
1987,465.4
1988,677.6
1989,167.4
1990,73.2
1991,380.1
1992,136.9
1993,123.6
1994,355.6
1995,140.7
1996,435.7
1997,251.7
1998,96.3
1999,190.3
2000,179.3
2001,357.9
2002,158.1
2003,122.8
2004,577.2
2005,1927.7
2006,1216.4
2007,205.2
2008,141.1
2009,18
2010,14.4
2011,15
2012,9.4
2013,7.5
2014,75.3
2015,5.3
