species,sardine,sardine,sardine,sardine,anchovy
assessment year,best,2020,2009,1991,2017
reference,,Hill et al.,Hill et al.,Jacobson and MacCall,Thayer et al.
source,combined,Table ES-2,Table 10b,Table 1,Appendix Table 1
,spawning stock biomass,spawning stock biomass,spawning stock biomass,spawning stock biomass,spawning stock biomass
year,metric tons,metric tons,metric tons,metric tons,metric tons
1951,740000,,,740000,14900
1952,793000,,,793000,10700
1953,780000,,,780000,13700
1954,277000,,,277000,93800
1955,136000,,,136000,85000
1956,202000,,,202000,32800
1957,239000,,,239000,936000
1958,170000,,,170000,422000
1959,108000,,,108000,519400
1960,90000,,,90000,491000
1961,177000,,,177000,243800
1962,122000,,,122000,650000
1963,88000,,,88000,1102700
1964,,,,,1993700
1965,,,,,1902600
1966,,,,,2015500
1967,,,,,
1968,,,,,447800
1969,,,,,1130100
1970,,,,,
1971,,,,,
1972,,,,,384300
1973,,,,,
1974,,,,,
1975,,,,,1822100
1976,,,,,
1977,,,,,
1978,,,,,477000
1979,,,,,436200
1980,,,,,
1981,1352,,1352,,610900
1982,1947,,1947,,318200
1983,2858,,2858,,
1984,3136,,3136,,400000
1985,5879,,5879,,
1986,10299,,10299,5000,2028000
1987,22296,,22296,18000,465400
1988,49554,,49554,24000,677600
1989,75679,,75679,33000,167400
1990,100733,,100733,56000,73200
1991,137366,,137366,,380100
1992,193407,,193407,,136900
1993,256587,,256587,,123600
1994,412409,,412409,,355600
1995,652947,,652947,,140700
1996,758935,,758935,,435700
1997,740950,,740950,,251700
1998,901075,,901075,,96300
1999,1363330,,1363330,,190300
2000,1456100,,1456100,,179300
2001,1245470,,1245470,,357900
2002,1082650,,1082650,,158100
2003,908239,,908239,,122800
2004,991002,,991002,,577200
2005,1051190,1051190,966117,,1927700
2006,1194360,1194360,823679,,1216400
2007,1013150,1013150,562754,,205200
2008,756584,756584,426110,,141100
2009,524418,524418,,,18000
2010,382967,382967,,,14400
2011,315887,315887,,,15000
2012,183221,183221,,,9400
2013,90715,90715,,,7500
2014,50999,50999,,,75300
2015,43802,43802,,,5300
2016,39848,39848,,,
2017,28481,28481,,,
2018,21038,21038,,,
2019,19502,19502,,,
