"year","month","anch_eggs_10m2","sard_eggs_10m2"
1951,1,0,0
1951,2,0,0.9375
1951,3,0,0.952083333333333
1951,4,9.63243243243243,1.89945945945946
1951,5,34.6958823529412,67.8244117647059
1951,6,0,25.2761290322581
1951,7,2.148,2.501
1951,8,1.33565217391304,0
1951,9,0.202222222222222,0
1951,10,0.755,0
1951,11,0,0
1951,12,0,0
1952,1,0,0.215238095238095
1952,2,0,0
1952,3,170.715263157895,1.95
1952,4,4.78324324324324,3.13594594594595
1952,5,16.4435897435897,25.54
1952,6,6.85,1.09963636363636
1952,7,0.197241379310345,3.17586206896552
1952,8,5.2,0.157777777777778
1952,9,19.2211111111111,0
1952,10,1.57235294117647,0
1952,11,0.871111111111111,0
1952,12,NA,NA
1953,1,10.5484,0
1953,2,37.9507692307692,0.702692307692308
1953,3,6.3928,0
1953,4,7.34,0
1953,5,0.43843137254902,0.103529411764706
1953,6,0.464878048780488,0.386829268292683
1953,7,8.655625,0.17875
1953,8,1.86038461538462,0
1953,9,21.8625,0
1953,10,5.53909090909091,0
1953,11,17.39625,0
1953,12,40.58625,0
1954,1,19.8440625,0
1954,2,16.1419230769231,0
1954,3,91.102,0
1954,4,14.797,27.89575
1954,5,18.3325,94.4025
1954,6,25.7165714285714,126.768571428571
1954,7,100.524444444444,54.0685185185185
1954,8,NA,NA
1954,9,1.79535714285714,0
1954,10,5.26384615384615,0
1954,11,NA,NA
1954,12,2.03416666666667,0
1955,1,44.846,0
1955,2,57.3178947368421,0
1955,3,131.293913043478,24.4313043478261
1955,4,14.8146875,1.6715625
1955,5,21.9897222222222,63.15
1955,6,67.069,69.18775
1955,7,6.13205128205128,0.972307692307692
1955,8,NA,NA
1955,9,NA,NA
1955,10,0.290384615384615,0
1955,11,0,0
1955,12,2.022,0
1956,1,0,0
1956,2,11.4447826086957,0
1956,3,29.88,0.469354838709677
1956,4,66.3132352941176,0.118823529411765
1956,5,59.1756140350877,53.9347368421053
1956,6,93.5839285714286,114.003571428571
1956,7,10.6611627906977,9.63720930232558
1956,8,NA,NA
1956,9,0,0
1956,10,0.574444444444444,0
1956,11,0,0
1956,12,0.977241379310345,0
1957,1,NA,NA
1957,2,1324.40273076923,0
1957,3,165.601923076923,0.219230769230769
1957,4,2021.60441176471,30.78
1957,5,20.2495238095238,40.3061904761905
1957,6,77.6240909090909,5.02295454545455
1957,7,3.438,0
1957,8,NA,NA
1957,9,NA,NA
1957,10,0.615555555555556,0
1957,11,12.0906451612903,8.30967741935484
1957,12,3.636875,0
1958,1,79.7511764705882,0.348235294117647
1958,2,27.9217142857143,219.480571428571
1958,3,743.085,40.8736111111111
1958,4,336.228139534884,15.1888372093023
1958,5,46.9609090909091,44.7106818181818
1958,6,34.8152272727273,4.95704545454545
1958,7,6.95116279069767,7.73325581395349
1958,8,NA,NA
1958,9,0.526,0
1958,10,0.112325581395349,0
1958,11,0.4496,0
1958,12,9.59740740740741,0
1959,1,144.6425,85.74625
1959,2,211.184693877551,24.929387755102
1959,3,102.050869565217,5.40347826086956
1959,4,179.70511627907,92.8741860465116
1959,5,148.832391304348,133.021304347826
1959,6,12.8445238095238,146.861666666667
1959,7,1.85279069767442,16.0513953488372
1959,8,0.873,0.90075
1959,9,0,0
1959,10,0,0
1959,11,0.23625,0
1959,12,7.20657142857143,0.0777142857142857
1960,1,4.27152173913043,9.86608695652174
1960,2,43.987619047619,58.417380952381
1960,3,150.0322,66.42
1960,4,854.058787878788,413.837272727273
1960,5,68.4706666666667,10.3193333333333
1960,6,84.7515384615385,67.5523076923077
1960,7,1.11,0
1960,8,1.168,1.1568
1960,9,0,0
1960,10,0.875,0.230588235294118
1960,11,NA,NA
1960,12,NA,NA
1961,1,0.634444444444444,0
1961,2,12.1644827586207,29.5779310344828
1961,3,NA,NA
1961,4,291.211111111111,7.12622222222222
1961,5,NA,NA
1961,6,2.138,0.358
1961,7,10.2220512820513,2.35948717948718
1961,8,NA,NA
1961,9,NA,NA
1961,10,0.405777777777778,0.116888888888889
1961,11,NA,NA
1961,12,NA,NA
1962,1,22.5033333333333,0
1962,2,134.318888888889,0
1962,3,96.0171428571429,0
1962,4,498.773513513514,3.05540540540541
1962,5,NA,NA
1962,6,NA,NA
1962,7,9.72851851851852,5.00074074074074
1962,8,0,0.585
1962,9,NA,NA
1962,10,0.0784210526315789,2.42
1962,11,0,0
1962,12,NA,NA
1963,1,71.32,0
1963,2,223.966666666667,0
1963,3,NA,NA
1963,4,584.795789473684,0
1963,5,761.733333333333,0.633333333333333
1963,6,NA,NA
1963,7,2.6155,0
1963,8,NA,NA
1963,9,NA,NA
1963,10,1.54317073170732,0.413658536585366
1963,11,NA,NA
1963,12,NA,NA
1964,1,300.569375,0
1964,2,881.911621621622,0
1964,3,NA,NA
1964,4,2320.03875,0
1964,5,NA,NA
1964,6,951.674,0.21
1964,7,65.1462857142857,0.328857142857143
1964,8,NA,NA
1964,9,NA,NA
1964,10,7.36558139534884,0
1964,11,NA,NA
1964,12,NA,NA
1965,1,1756.64413043478,4.67021739130435
1965,2,NA,NA
1965,3,584.32,0
1965,4,868.157234042553,3.89702127659575
1965,5,NA,NA
1965,6,940.336296296296,0
1965,7,700.63,0
1965,8,0,0
1965,9,29.4580555555556,0.734166666666667
1965,10,NA,NA
1965,11,NA,NA
1965,12,NA,NA
1966,1,218.053846153846,0
1966,2,1126.63396825397,5.05555555555556
1966,3,4205.43315789474,0
1966,4,2596.28333333333,0
1966,5,1496.2693877551,0
1966,6,138.104893617021,0
1966,7,43.5586956521739,0.174782608695652
1966,8,102.36325,0
1966,9,59.4228205128205,0
1966,10,4.6778,0
1966,11,NA,NA
1966,12,20.5575,0.0635416666666667
1967,1,NA,NA
1967,2,NA,NA
1967,3,NA,NA
1967,4,NA,NA
1967,5,NA,NA
1967,6,293.646285714286,0
1967,7,809.720909090909,0
1967,8,NA,NA
1967,9,NA,NA
1967,10,NA,NA
1967,11,NA,NA
1967,12,NA,NA
1968,1,89.0018367346939,0
1968,2,NA,NA
1968,3,NA,NA
1968,4,NA,NA
1968,5,NA,NA
1968,6,153.7475,0
1968,7,NA,NA
1968,8,NA,NA
1968,9,NA,NA
1968,10,NA,NA
1968,11,NA,NA
1968,12,NA,NA
1969,1,281.640392156863,0.0558823529411765
1969,2,1026.99264150943,0.588679245283019
1969,3,18.205,0
1969,4,902.370666666667,0
1969,5,647.666170212766,0.200425531914894
1969,6,NA,NA
1969,7,83.5662745098039,0
1969,8,0.613125,0
1969,9,156.305666666667,0
1969,10,44.3276470588235,0
1969,11,0.306,0
1969,12,110.707037037037,0
1970,1,NA,NA
1970,2,NA,NA
1970,3,NA,NA
1970,4,NA,NA
1970,5,NA,NA
1970,6,NA,NA
1970,7,NA,NA
1970,8,NA,NA
1970,9,NA,NA
1970,10,NA,NA
1970,11,NA,NA
1970,12,NA,NA
1971,1,NA,NA
1971,2,NA,NA
1971,3,NA,NA
1971,4,NA,NA
1971,5,NA,NA
1971,6,NA,NA
1971,7,NA,NA
1971,8,NA,NA
1971,9,NA,NA
1971,10,NA,NA
1971,11,NA,NA
1971,12,NA,NA
1972,1,10.9740476190476,0
1972,2,408.134285714286,0
1972,3,195.914528301887,0
1972,4,134.14375,0
1972,5,NA,NA
1972,6,NA,NA
1972,7,189.520652173913,0.311304347826087
1972,8,NA,NA
1972,9,7.775,0
1972,10,0,0
1972,11,5.008,0
1972,12,NA,NA
1973,1,NA,NA
1973,2,NA,NA
1973,3,NA,NA
1973,4,NA,NA
1973,5,NA,NA
1973,6,NA,NA
1973,7,NA,NA
1973,8,NA,NA
1973,9,NA,NA
1973,10,NA,NA
1973,11,NA,NA
1973,12,NA,NA
1974,1,NA,NA
1974,2,NA,NA
1974,3,NA,NA
1974,4,NA,NA
1974,5,NA,NA
1974,6,NA,NA
1974,7,NA,NA
1974,8,NA,NA
1974,9,NA,NA
1974,10,NA,NA
1974,11,46.8251515151515,0
1974,12,56.35,0
1975,1,755.278695652174,0.331086956521739
1975,2,0,0
1975,3,2192.0646875,0
1975,4,NA,NA
1975,5,381.458461538462,0
1975,6,529.406,0
