"year","anch_eggs_10m2","sard_eggs_10m2"
1951,NA,NA
1952,NA,NA
1953,NA,NA
1954,NA,NA
1955,NA,NA
1956,NA,NA
1957,NA,NA
1958,NA,NA
1959,NA,NA
1960,NA,NA
1961,NA,NA
1962,NA,NA
1963,NA,NA
1964,644.7,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,NA,NA
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,1691.85777777778,0
1976,NA,NA
1977,NA,NA
1978,2281.4384105,0
1979,682.1006924,0
1980,32.0072896666667,0
1981,413.846118,81.77215
1982,1635.58048175,0
1983,386.205,0
1984,1204.48647375,43.1375966666667
1985,120.48361,1155.706
1986,98.7523055,2.32490275
1987,769.2548175,194.700511111111
1988,2095.76,2271.29834083333
1989,19.6733333333333,950.627152166667
1990,20.9066666666667,1215.42713333333
1991,1518.20679666667,217.41513
1992,2671.265,16.2924033333333
1993,232.763333333333,16.4183333333333
1994,608.366666666667,0
1995,4300.58333333333,1.19333333333333
1996,1758.33504633333,15.18
1997,8960.63560833333,0
1998,236.058333333333,3.08047619047619
1999,12.74,0
2000,72.2066808333333,0
2001,1253.68666666667,0
2002,1356.35833333333,0
2003,672.063333333333,0
2004,225.35,0
2005,2668.42901,1.0700758
2006,332.26194,0
2007,11.932,2.735
2008,90.797645,0
2009,1474.3354636,748.51
2010,189.143,0
2011,5.517,0.447
2012,89.423,0
2013,5.769,0
2014,1668.57643,100.322333333333
2015,722.962,43.016
2016,1769.66397,29.187
2017,387.482,1.7153846
2018,1255.9532082,0
