"cruise","ship","ship_code","order_occupied","tow_type","net_type","tow_number","net_location","standard_haul_factor","volume_sampled","percent_sorted","sample_quality","latitude","longitude","line","station","time","scientific_name","common_name","itis_tsn","calcofi_species_code","egg_count","eggs_10m2","eggs_1000m3","statline"
195101,"CREST","CR",22,"Oblique","C1",1,"starboard",1.97,"744.9","1.0",0,30.431667,-124.07333,90,120,1951-01-16 16:36:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 120"
195101,"CREST","CR",23,"Oblique","C1",1,"starboard",2.01,"713.7","1.0",0,30.736666,-123.333336,90,110,1951-01-16 23:56:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 110"
195101,"CREST","CR",25,"Oblique","C1",1,"starboard",1.77,"790.7","1.0",0,31.351667,-121.72,90,90,1951-01-17 10:51:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 90"
195101,"CREST","CR",29,"Oblique","C1",1,"starboard",1.82,"757.0","0.5",0,32.641666,-119.48333,90,53,1951-01-18 08:30:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 53"
195101,"CREST","CR",37,"Oblique","C1",1,"starboard",1.59,"833.8","1.0",0,31.546667,-120.25,93.3,70,1951-01-20 23:21:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","93.3 70"
195101,"SCOFIELD","47",17,"Oblique","C1",1,"starboard",1.73,"773.6","1.0",0,33.791668,-121.816666,80,70,1951-01-25 16:06:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","80 70"
195101,"CREST","CR",38,"Oblique","C1",1,"starboard",1.97,"724.3","1.0",0,31.201666,-120.918335,93.3,80,1951-01-21 05:41:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","93.3 80"
195101,"SCOFIELD","47",18,"Oblique","C1",1,"starboard",1.53,"841.1","1.0",0,33.416668,-122.5,80,80,1951-01-25 22:27:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","80 80"
195101,"SCOFIELD","47",19,"Oblique","C1",1,"starboard",1.66,"799.8","1.0",0,33.15,-123.21667,80,90,1951-01-26 08:02:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","80 90"
195101,"CREST","CR",30,"Oblique","C1",1,"starboard",1.98,"714.0","1.0",0,32.946667,-118.933334,90,45,1951-01-18 13:21:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 45"
195101,"CREST","CR",39,"Oblique","C1",1,"starboard",1.88,"743.9","1.0",0,30.831667,-121.585,93.3,90,1951-01-21 11:11:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","93.3 90"
195101,"SCOFIELD","47",1,"Oblique","C1",1,"starboard",1.65,"892.6","1.0",0,33.833332,-118.625,86.7,35,1951-01-19 07:25:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","86.7 35"
195101,"CREST","CR",26,"Oblique","C1",1,"starboard",1.8,"773.7","1.0",0,31.666666,-120.916664,90,80,1951-01-17 16:26:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 80"
195101,"CREST","CR",31,"Oblique","C1",1,"starboard",2.05,"700.3","1.0",0,33.183334,-118.39,90,37,1951-01-18 17:51:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 37"
195101,"SCOFIELD","47",2,"Oblique","C1",1,"starboard",1.91,"768.7","1.0",0,33.666668,-118.975,86.7,40,1951-01-19 13:10:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","86.7 40"
195101,"SCOFIELD","47",3,"Oblique","C1",1,"starboard",2.08,"673.7","1.0",0,33,-120.35833,86.7,60,1951-01-20 03:17:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","86.7 60"
195101,"CREST","CR",32,"Oblique","C1",1,"starboard",1.98,"714.2","1.0",0,33.395,-117.878334,90,30,1951-01-19 19:01:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","90 30"
195101,"SCOFIELD","47",4,"Oblique","C1",1,"starboard",1.9,"721.8","1.0",0,32.616665,-121.03333,86.7,70,1951-01-20 12:44:00,"Sardinops sagax","Pacific sardine (pilchard)                   ",161729,19,"0.0",0,"NaN","86.7 70"
