Year,2020,2019,2018,2017,2016,2007,2005,
,Total Stock Biomass,Spawning Stock Biomass - Age 1+,Summary Biomass Age 1+ (Season 2; Mean),"Summary Biomass, Age 1+, Calendar Sem 2","Summary Biomass, Age 0+, Calendar Sem 1","Summary Biomass, Age 1+ (Mean)",Spawning Stock Biomass,
1981,,,,,,1404,,
1982,,,,,,2013,,
1983,,,,,,2891,4000,
1984,,,,,,5445,9000,
1985,,,,,,6420,21000,
1986,,,,,,10053,34000,
1987,,,,,,22622,49000,
1988,,,,,,48341,79000,
1989,,,,,,84604,127000,
1990,,,,,,111509,202000,
1991,,,,,,158755,279000,
1992,,,,,,243062,344000,
1993,,,,,,272461,429000,
1994,,,,,587750,430463,453000,
1995,,,,,736427,702406,598000,
1996,,,,,762787,864060,821000,
1997,,,,,732516,917855,986000,
1998,,,,,814663,1002920,1033000,
1999,,,,,937745,1495910,1030000,
2000,,,,,906789,1713280,1087000,
2001,,,,,741732,1548940,1017000,
2002,,,,,602379,1397530,889000,
2003,,,,,433128,1137720,873000,
2004,1349769,,,,508511,1211000,818000,
2005,1352337,,1534415,1533212,673349,1219480,902000,
2006,1683806,1323394,1774784,1798037,883999,1101890,,
2007,1342647,1515029,1471710,1492373,976593,832706,,
2008,1313490,1149491,1097736,1114265,926712,,,
2009,719186,848122,755371,767891,806368,,,
2010,506747,559034,594343,607294,709581,,,
2011,560523,433033,532226,551375,599956,,,
2012,365815,399800,340875,356650,449443,,,
2013,195396,207915,170633,181928,258238,,,
2014,110660,96176,81648,89264,134908,,,
2015,68147,61869,65405,70540,86721,,,
2016,72077,53939,57067,66983,98782,,,
2017,55289,37197,43483,86586,,,,
2018,49449,25642,52065,,,,,
2019,35186,27547,,,,,,
